id;tipo_movimiento;cantidad;total_anterior;total_final;fecha_movimiento
1;SALIDA;41081;78342;92894;2020-06-17T18:33:19
2;SALIDA;19979;53792;25996;2020-06-17T11:33:13
3;SALIDA;47353;84434;93412;2020-06-17T18:04:04
4;SALIDA;24605;66473;24062;2020-06-17T14:29:30
5;SALIDA;84116;39817;35304;2020-06-17T23:42:39
6;SALIDA;94799;79244;51461;2020-06-17T21:31:49
7;ENTRADA;39504;25117;57260;2020-06-17T14:54:22
8;ENTRADA;2955;61141;65179;2020-06-17T04:47:02
9;ENTRADA;7797;88702;87006;2020-06-17T01:13:15
10;SALIDA;64843;85189;14254;2020-06-17T04:29:41
