id;total_sin_iva;comision_transportista;comision_preparador;total;fecha_pedido;fecha_preparacion;fecha_cobro;fecha_entrega
1;47500;71200;79963;29602;2020-06-17;2020-06-17;2020-06-17;2020-06-17
2;62697;41856;84628;3189;2020-06-17;2020-06-17;2020-06-17;2020-06-17
3;84527;84918;33064;80768;2020-06-17;2020-06-17;2020-06-17;2020-06-17
4;87388;50178;65101;92863;2020-06-17;2020-06-17;2020-06-17;2020-06-17
5;61672;15019;93571;75612;2020-06-17;2020-06-17;2020-06-17;2020-06-17
6;19534;33326;34393;66512;2020-06-17;2020-06-18;2020-06-17;2020-06-17
7;23656;60883;73261;97062;2020-06-17;2020-06-17;2020-06-17;2020-06-17
8;41233;36136;55097;86627;2020-06-17;2020-06-17;2020-06-17;2020-06-17
9;36214;97918;41463;35182;2020-06-17;2020-06-17;2020-06-17;2020-06-18
10;12725;87828;39924;7556;2020-06-17;2020-06-17;2020-06-17;2020-06-17
