id;nombre;descripcion;caracteristicas;precio_sin_iva;precio;fecha_alta;fecha_modificacion
1;budgetary management;cyan ivory;concept Motorway circuit;20978;82185;2020-06-17T21:36:18;2020-06-17T18:11:40
2;Borders Facilitator Rubber;Fresh;systemic Practical orchid;19082;34838;2020-06-17T16:04:35;2020-06-17T06:52:33
3;reboot Programmable;Hat Awesome;Tunnel;94847;78123;2020-06-17T05:11:50;2020-06-17T16:22:32
4;Tools;back-end challenge Haiti;Hat action-items;76382;67494;2020-06-17T03:45:06;2020-06-17T06:43:03
5;Soft;Won;multi-tasking;53477;21711;2020-06-17T15:08:32;2020-06-17T03:09:28
6;incubate;application;synthesizing Sleek Plastic Computer;49294;36847;2020-06-17T21:06:50;2020-06-17T05:58:43
7;port Via withdrawal;Utah;Ukraine orange;77198;46192;2020-06-17T17:19:53;2020-06-17T16:43:14
8;auxiliary;neural;neural Global Tasty;99547;49406;2020-06-17T07:10:11;2020-06-17T02:28:37
9;Jewelery vertical;world-class microchip Lesotho;Handcrafted Metal Chicken Intranet;86081;96268;2020-06-17T16:59:06;2020-06-17T02:07:48
10;generating e-markets orchid;plug-and-play;Car Rustic Cotton Shirt;38494;29987;2020-06-17T15:02:15;2020-06-17T23:36:23
