id;nombre;fecha_alta;fecha_modificacion
1;connecting Wooden;2020-06-17T00:34:57;2020-06-17T10:16:47
2;web services Clothing;2020-06-17T00:54:53;2020-06-17T16:44:13
3;Metal;2020-06-17T19:55:29;2020-06-17T13:21:24
4;monitor challenge;2020-06-17T06:56:19;2020-06-17T00:39:48
5;Assistant Human;2020-06-17T06:05:05;2020-06-17T06:37:56
6;Mission Wisconsin;2020-06-17T06:31:30;2020-06-17T14:41:45
7;Bangladesh;2020-06-17T15:44:10;2020-06-17T06:45:00
8;Manat Networked Route;2020-06-17T08:33:34;2020-06-17T06:05:45
9;initiative payment;2020-06-17T05:45:38;2020-06-17T13:27:24
10;virtual blue;2020-06-17T11:35:50;2020-06-17T05:24:11
