id;nombre;fecha_alta;fecha_modificacion
1;Money Market Account deposit;2020-06-17T13:34:48;2020-06-17T18:19:30
2;override;2020-06-17T08:51:13;2020-06-17T01:53:19
3;Coordinator Table mint green;2020-06-17T20:29:16;2020-06-17T14:23:02
4;Berkshire next generation Health;2020-06-17T06:32:36;2020-06-17T10:24:10
5;green Sharable;2020-06-17T07:16:09;2020-06-17T03:56:34
6;channels Antarctica (the territory South of 60 deg S) niches;2020-06-17T20:33:13;2020-06-17T04:28:54
7;connect;2020-06-17T22:12:59;2020-06-17T08:49:28
8;Fresh;2020-06-17T11:17:55;2020-06-17T12:24:00
9;optical monitor Licensed Soft Pizza;2020-06-17T05:00:41;2020-06-17T22:39:59
10;Springs Finland Outdoors;2020-06-17T22:15:15;2020-06-17T22:46:12
