id;nombre;fecha_alta;fecha_modificacion
1;pixel TCP Bedfordshire;2020-06-17T01:44:32;2020-06-17T03:25:02
2;radical North Carolina;2020-06-17T16:03:51;2020-06-17T05:23:56
3;Steel Fresh;2020-06-17T22:16:36;2020-06-17T22:17:34
4;white Sports;2020-06-17T01:23:58;2020-06-17T20:27:48
5;Nepalese Rupee Credit Card Account;2020-06-17T05:35:18;2020-06-17T03:53:06
6;digital firewall clicks-and-mortar;2020-06-17T12:29:48;2020-06-17T15:45:54
7;B2C synthesizing;2020-06-17T14:06:53;2020-06-17T08:11:37
8;Focused;2020-06-17T20:26:36;2020-06-17T01:19:46
9;Technician Syrian Arab Republic Accounts;2020-06-17T01:22:20;2020-06-17T18:38:31
10;strategize CSS;2020-06-17T20:23:43;2020-06-17T07:45:24
